sent_nr	word_pos	word	item	ENCOW_log_freq	srp_1k	KLD_1k	srp_3k	KLD_3k	srp_10k	KLD_10k	srp_30k	KLD_30k	srp_100k	KLD_100k	srp_300k	KLD_300k	srp_1M	KLD_1M	srp_3M	KLD_3M	srp_6-47M	KLD_6-47M
320	13	or	32013	-12.6689	6.5205	0.45344925	5.7704	0.20270777	5.7776	0.1336894	5.2548	0.318892	5.6946	0.4653039	5.8973	0.74121094	5.4033	1.14415741	3.9326	1.56497765	4.1821	1.70622301
320	14	much	32014	-11.7467	8.0383	0.45253038	6.8757	0.20132542	6.6585	0.08595419	6.833	0.27481556	7.0155	0.3514328	8.1871	0.45681238	9.4291	0.89374065	9.9773	1.75465631	9.6347	1.98816299
320	15	in	32015	-14.1592	3.9772	0.45141888	4.3271	0.19977617	4.2085	0.07349777	4.2166	0.08675909	3.2114	0.27677155	4.4126	0.65300512	4.7021	0.81962585	4.1593	1.11592531	3.6729	1.38845682
320	16	the	32016	-15.3366	3.103	0.45045185	3.4817	0.19905853	3.1171	0.07107925	1.2782	0.54554558	1.1627	0.90390158	0.9256	1.21853256	0.9317	1.30930376	0.7663	1.63052011	0.7166	1.684021
320	17	flat,	32017	-8.7381	9.3758	0.45124769	9.6765	0.20769453	9.3818	0.36266851	8.8735	1.0401659	8.5982	1.2883544	8.7086	1.60513926	7.5202	2.01337051	6.7898	3.06997919	7.2196	3.33192015
320	18	the	32018	-15.3366	3.1028	0.45014429	3.4982	0.19858265	3.0005	0.06106138	3.5328	0.28674316	2.7702	0.54335022	2.5249	0.68476105	1.8504	0.90061283	1.8874	0.94701147	1.7846	1.12587929
320	19	stereo	32019	-6.632000000000001	9.8152	0.45087862	10.2184	0.2073946	10.0137	0.37127113	10.2831	0.9395647	10.7535	1.26812124	10.6766	1.40557051	9.5724	1.56820536	9.1253	2.58168125	9.2232	2.79276562
320	20	was	32020	-13.2729	5.0849	0.45065355	5.4401	0.20246887	5.5975	0.12387705	4.7107	0.23224688	3.2161	0.56839132	3.2909	0.7309432	3.212	1.19370604	2.6623	1.62382078	2.4507	1.82425499
320	21	not	32021	-13.2361	5.3149	0.4506731	5.2215	0.20132732	5.2567	0.08407402	5.2873	0.1532774	3.4175	0.63117313	3.659	1.12150717	3.9537	1.52320576	3.5781	2.14200783	3.3328	2.15674543
320	22	dusty	32022	-5.5645	10.0374	0.45033598	10.5293	0.20033216	10.862	0.07588005	10.895	0.14240217	11.7108	0.50431633	11.5362	1.00241137	11.7845	1.34630823	10.8511	1.89846706	10.3569	1.94350433
321	1	Kate	32101	-7.2492	9.1362		9.6588		10.9107		10.9948		10.8579		9.5995		9.5981		9.856		9.7606	
321	2	propped	32102	-4.5433	9.5168	0.95294285	10.3866	0.24124908	11.1436	0.14305019	11.5411	0.11184359	11.6931	0.30954742	11.5912	0.67586327	11.9533	1.40140009	12.5389	1.89069366	12.552	1.92741776
321	3	herself	32103	-8.1312	9.5764	0.73187637	10.2269	0.18338442	10.2805	0.08058214	10.4485	0.09577799	9.8326	0.25579643	9.8753	0.53205204	8.4314	0.5499506	6.9844	1.0052433	6.6937	1.56279182
321	4	up	32104	-12.2438	7.795	0.60681581	6.158	0.16817713	6.35	0.06424189	5.7426	0.16183853	5.67	0.40582037	6.2847	0.72256422	5.718	0.9690752	3.3916	1.01688194	2.6468	1.19032288
321	5	on	32105	-13.4378	5.226	0.54106236	5.0801	0.16976357	4.9265	0.06635904	4.498	0.22906399	3.6962	0.39896297	4.1562	0.62363863	3.8538	0.77545881	3.4531	1.01241922	3.3934	1.09075665
321	6	her	32106	-11.5871	8.7453	0.50516033	6.8704	0.17673016	6.7042	0.0716362	6.6129	0.48746395	5.4298	0.65755701	5.1787	0.8756876	4.5039	1.25045633	2.9999	1.76920033	2.6453	1.95394659
321	7	elbows,	32107	-5.124	9.9654	0.484056	10.4845	0.18364096	11.0753	0.08282518	11.3072	0.16521406	10.9769	0.62953758	11.6267	0.91285276	12.1801	1.48140764	10.5704	2.26805162	10.0035	2.47048616
321	8	her	32108	-11.5871	8.7873	0.46374035	6.8604	0.1913867	6.7137	0.05875492	6.6617	0.29687071	7.3511	0.54820204	6.7953	0.77810097	5.3725	1.04246902	4.503	1.36450577	4.5978	1.44602442
321	9	wine	32109	-8.2746	9.6099	0.45910883	9.7983	0.1951046	10.3258	0.07464886	10.1769	0.11081409	9.3999	0.48481226	8.9815	0.77921867	8.2817	2.19365454	8.8361	2.81682825	8.8401	2.98060417
321	10	glass	32110	-8.3175	10.216	0.45622921	10.5053	0.19778728	10.6706	0.08550835	10.7736	0.17729521	9.9263	0.33827019	10.4404	0.7503171	8.9633	0.95264387	8.8015	1.04591227	8.0857	1.09693193
321	11	standing	32111	-8.6449	9.7506	0.45456314	10.0358	0.19984293	10.1864	0.09245443	9.9888	0.15209723	9.6826	0.37042093	10.0702	0.656991	9.4325	0.79929209	10.1047	1.12539005	10.0007	1.12073946
321	12	in	32112	-14.1592	3.9798	0.45336294	4.317	0.20056391	4.1663	0.09688139	3.9704	0.23767328	3.5145	0.31271791	3.2188	0.50797987	2.7403	0.98005247	2.728	1.24304247	2.5015	1.40326166
321	13	the	32113	-15.3366	3.1048	0.45171213	3.488	0.20023012	3.1319	0.09048414	1.3818	0.50034285	1.4837	0.81591272	1.4334	1.04453325	1.6013	1.52203798	1.2164	1.78634024	1.1587	1.85455322
321	14	tall	32114	-7.4103	10.2164	0.45224857	10.2347	0.20866299	9.9226	0.35996342	9.6478	1.04817772	10.1143	1.28480291	10.4242	1.63415337	9.9151	2.24594736	9.3999	3.01053715	9.3405	3.21062565
321	15	grass	32115	-7.5873	10.0853	0.45104694	10.4398	0.20369816	10.5863	0.13224745	10.9228	0.38322544	10.7607	0.57359982	10.2849	0.70602942	9.452	1.3338418	7.7773	2.26426649	7.682	2.45357132
321	16	besides	32116	-7.7969	10.0299	0.45055532	10.4039	0.20086527	10.4836	0.0866003	10.8512	0.213521	10.9978	0.43092394	11.7557	0.87542558	11.9494	0.98760605	12.2248	1.16425586	12.2221	1.20295572
